"gene_id","hms_id","class_min","Approved.Symbol"
5605,10141,3,"MAP2K2"
5606,10141,3,"MAP2K3"
5607,10141,2,"MAP2K5"
5608,10141,10,"MAP2K6"
5609,10141,10,"MAP2K7"
5610,10141,3,"EIF2AK2"
5613,10141,10,"PRKX"
5747,10141,1,"PTK2"
5753,10141,3,"PTK6"
5871,10141,3,"MAP4K2"
5894,10141,10,"RAF1"
5979,10141,2,"RET"
6011,10141,10,"GRK1"
6093,10141,3,"ROCK1"
6098,10141,2,"ROS1"
6195,10141,2,"RPS6KA1"
6196,10141,3,"RPS6KA2"
6197,10141,3,"RPS6KA3"
6198,10141,3,"RPS6KB1"
6300,10141,10,"MAPK12"
6416,10141,3,"MAP2K4"
6714,10141,1,"SRC"
6725,10141,3,"SRMS"
6732,10141,2,"SRPK1"
6733,10141,2,"SRPK2"
6787,10141,3,"NEK4"
6788,10141,10,"STK3"
6789,10141,10,"STK4"
6790,10141,3,"AURKA"
6792,10141,3,"CDKL5"
6793,10141,3,"STK10"
6794,10141,2,"STK11"
6795,10141,2,"AURKC"
6850,10141,3,"SYK"
6885,10141,3,"MAP3K7"
7006,10141,10,"TEC"
7010,10141,3,"TEK"
7016,10141,3,"TESK1"
7046,10141,10,"TGFBR1"
7048,10141,3,"TGFBR2"
7075,10141,2,"TIE1"
7086,10141,2,"TKT"
7272,10141,2,"TTK"
7294,10141,3,"TXK"
7297,10141,2,"TYK2"
7301,10141,10,"TYRO3"
7444,10141,10,"VRK2"
7465,10141,2,"WEE1"
7525,10141,2,"YES1"
7535,10141,3,"ZAP70"
7786,10141,3,"MAP3K12"
8394,10141,1,"PIP5K1A"
8396,10141,2,"PIP4K2B"
8408,10141,2,"ULK1"
8428,10141,10,"STK24"
8445,10141,10,"DYRK2"
8476,10141,10,"CDC42BPA"
8491,10141,3,"MAP4K3"
8536,10141,3,"CAMK1"
8550,10141,10,"MAPKAPK5"
8569,10141,3,"MKNK1"
8573,10141,3,"CASK"
8576,10141,1,"STK16"
8621,10141,10,"CDK13"
8711,10141,2,"TNK1"
8737,10141,3,"RIPK1"
8767,10141,3,"RIPK2"
8780,10141,1,"RIOK3"
8814,10141,10,"CDKL1"
8899,10141,2,"PRPF4B"
8986,10141,2,"RPS6KA4"
8999,10141,3,"CDKL2"
9024,10141,10,"BRSK2"
9064,10141,10,"MAP3K6"
9088,10141,10,"PKMYT1"
9113,10141,10,"LATS1"
9149,10141,3,"DYRK1B"
9175,10141,2,"MAP3K13"
9201,10141,2,"DCLK1"
9212,10141,2,"AURKB"
9252,10141,3,"RPS6KA5"
9261,10141,10,"MAPKAPK2"
9262,10141,1,"STK17B"
9263,10141,2,"STK17A"
9344,10141,2,"TAOK2"
9448,10141,10,"MAP4K4"
9475,10141,3,"ROCK2"
9578,10141,10,"CDC42BPB"
9641,10141,2,"IKBKE"
9706,10141,1,"ULK2"
9748,10141,2,"SLK"
9833,10141,3,"MELK"
9874,10141,3,"TLK1"
9891,10141,1,"NUAK1"
9943,10141,10,"OXSR1"
10000,10141,10,"AKT3"
10114,10141,3,"HIPK3"
10188,10141,1,"TNK2"
10298,10141,3,"PAK4"
10461,10141,2,"MERTK"
10494,10141,3,"STK25"
10645,10141,3,"CAMKK2"
10733,10141,1,"PLK4"
10746,10141,2,"MAP3K2"
10769,10141,3,"PLK2"
10783,10141,2,"NEK6"
11011,10141,3,"TLK2"
11040,10141,10,"PIM2"
11113,10141,2,"CIT"
11183,10141,10,"MAP4K5"
11184,10141,3,"MAP4K1"
11200,10141,10,"CHEK2"
11213,10141,2,"IRAK3"
11329,10141,3,"STK38"
22848,10141,1,"AAK1"
22858,10141,3,"ICK"
22983,10141,10,"MAST1"
23012,10141,10,"STK38L"
23043,10141,10,"TNIK"
23097,10141,10,"CDK19"
23235,10141,1,"SIK2"
23387,10141,3,"SIK3"
23396,10141,10,"PIP5K1C"
23604,10141,1,"DAPK2"
23678,10141,3,"SGK3"
23683,10141,3,"PRKD3"
25778,10141,3,"DSTYK"
25865,10141,10,"PRKD2"
25989,10141,2,"ULK3"
26524,10141,3,"LATS2"
26576,10141,2,"SRPK3"
27102,10141,3,"EIF2AK1"
27148,10141,2,"STK36"
27330,10141,2,"RPS6KA6"
27347,10141,3,"STK39"
28996,10141,3,"HIPK2"
29110,10141,1,"TBK1"
30811,10141,10,"HUNK"
50488,10141,3,"MINK1"
51086,10141,3,"TNNI3K"
51135,10141,3,"IRAK4"
51265,10141,10,"CDKL3"
51347,10141,3,"TAOK3"
51701,10141,10,"NLK"
51765,10141,3,"STK26"
51776,10141,2,"MAP3K20"
53904,10141,10,"MYO3A"
53944,10141,10,"CSNK1G1"
54101,10141,3,"RIPK4"
54861,10141,2,"SNRK"
55351,10141,10,"STK32B"
55561,10141,10,"CDC42BPG"
55589,10141,1,"BMP2K"
55781,10141,3,"RIOK2"
56924,10141,3,"PAK6"
56997,10141,3,"COQ8A"
57118,10141,2,"CAMK1D"
57144,10141,3,"PAK5"
57172,10141,3,"CAMK1G"
57396,10141,3,"CLK4"
57551,10141,3,"TAOK1"
57787,10141,2,"MARK4"
65061,10141,3,"CDK15"
65975,10141,2,"STK33"
79837,10141,3,"PIP4K2C"
79858,10141,3,"NEK11"
79934,10141,2,"COQ8B"
80122,10141,1,"MAP3K19"
81788,10141,1,"NUAK2"
83732,10141,2,"RIOK1"
