CHEBI	PUBCHEM
4439	92740993
4441	223439508
4443	223439509
4445	11533490
4446	223439510
4447	223439511
4449	56394825
4450	99319081
4453	56352943
4454	223439512
4458	223439513
4459	223439514
4460	162169166
4462	24434917
4463	223439515
4464	57304809
4465	223439516
4466	49658623
4469	10318924
4470	8145861
4472	223439517
4473	223439518
4474	99313630
4478	223439519
4480	223439520
4484	223439521
4488	11533310
4489	223439522
4490	223439523
4491	223439524
4492	223439525
4495	56394824
4496	11533488
4503	223439526
4506	223439527
4508	46530525
4509	46530524
4510	223439528
4511	57304808
4512	223439529
4513	99313631
4514	99313632
4515	99319073
4517	223439530
4518	56352870
4520	223439108
4524	223439531
4527	223439532
4530	99319074
4532	223439533
4534	99319075
4536	223439534
4537	223439535
4544	223439536
4551	92729949
4553	223439537
4559	223439538
4562	99313633
4566	223439539
4572	223439540
4573	223439541
4574	223439542
4575	223439543
4579	223439544
4581	17425134
4582	223439545
4583	223439546
4591	56352869
4592	223439547
4593	8146420
4601	223439548
4604	99319076
4605	223439549
4606	223439550
4607	223439551
4608	11533657
4609	223439552
4610	223439109
4613	8145859
4614	223439553
4621	223439554
4623	49658686
4628	223439555
4629	163626637
4630	22396004
4631	223439556
4632	8146419
4633	223439557
4635	223439558
4636	99319084
4637	99319095
4638	56464134
4639	123058746
4640	26676115
4641	223439559
4645	223439560
4646	99319096
4647	99319085
4648	8146037
4650	223439561
4652	223439562
4653	56394823
4656	223439563
4657	56394974
4658	223439564
4659	11533307
4660	17487302
4661	223439565
4667	99319094
4668	223439566
4669	223439567
4670	99313634
4671	99319082
4672	99319097
4676	46530523
4681	50139453
4682	223439568
4685	24434786
4696	85305363
4700	223439569
4701	223439570
4702	99313635
4703	99319083
4704	223439571
4708	56464101
4709	56464133
4710	17425478
4712	223439572
4714	223439573
4715	223439574
4717	99313636
4718	223439575
4719	223439576
4720	223439577
4721	223439578
4722	223439579
4723	223439580
4724	99319105
4725	99319087
4726	223439581
4727	312530898
4728	99313637
4732	223439582
4733	223439583
4734	223439584
4737	223439110
4738	223439585
4739	223439586
4740	223439587
4743	135610170
4744	223439588
4745	223439589
4746	99437372
4747	223439590
4748	223439591
4749	223439592
4750	223439593
4751	223439594
4752	223439595
4753	99319104
4759	99313638
4765	223439596
4766	223439597
4768	8145858
4770	223439598
4771	223439599
4773	223439600
4774	223439601
4775	8147026
4776	223439104
4777	223439602
4778	160709353
4779	99313639
4780	14717857
4781	14717856
4783	223439603
4784	99313640
4785	99319103
4786	99313641
4787	223439604
4788	99313642
4789	223439605
4790	223439606
4791	26676099
4792	8145857
4793	223439607
4794	223439608
4798	49658624
4800	223439609
4803	223438261
4804	223439610
4806	17487252
4807	223439611
4808	53801181
4810	223439612
4813	223439613
4814	49658621
4815	223439614
4816	223439615
4817	223439616
4818	223439617
4819	46530546
4820	99319070
4821	99313643
4822	99313644
4823	46530912
4828	93581321
4829	223439618
4830	223439619
4833	223439620
4834	223439621
4835	223439622
4837	223439623
4838	223439624
4839	223439625
4846	11533961
4848	223439626
4850	85164707
4851	223439627
4853	162169167
4854	223439628
4855	223439629
4857	99319089
4858	99313646
4860	223439630
4866	11533486
4867	223439631
4868	56352913
4874	223439105
4876	50139238
4877	99313647
4878	99319100
4882	99437354
4883	29214838
4884	99437355
4885	50139237
4886	160644693
4887	99437356
4888	99437357
4892	223439632
4893	223439633
4895	223439634
4896	223439635
4901	223439636
4902	223439637
4903	11533305
4904	92729950
4906	223439106
4907	111978152
4909	99437358
4910	99437359
4911	8145856
4912	56394826
4913	56352872
4914	223439638
4915	223439639
4916	160644650
4917	8146418
4918	8147197
4919	223439640
4920	223439641
4921	223439642
4922	223439643
4923	223439644
4924	223439645
4925	223439646
4926	223439647
4927	223439648
4928	223439649
4929	223439650
4930	223439651
4931	223439652
4932	160709354
4933	223439653
4934	223439654
4935	223439655
4936	223439656
4937	223439657
4938	223439658
4939	223439659
4940	223439660
4941	135610163
4942	223439661
4943	223439662
4944	223439663
4946	160710300
4946	171571832
4947	26676109
4948	223439664
4949	223439665
4950	223439666
4951	223439667
4952	223439668
4953	99437373
4954	223439669
4955	223439670
4962	223439671
4966	223439672
4967	223439673
4969	223439674
4970	223439675
4973	223439676
4974	103158204
4975	11533304
4976	223439677
4977	223439678
4982	223439679
4983	223439680
4986	223438262
4988	223439681
4989	223439682
4991	99319078
4994	223439683
4995	103158205
4997	223439684
4999	17425477
5000	99313648
5001	11533532
5002	56394868
5004	103158206
5005	103158225
